172.19.0.1 - - [09/Feb/2024:17:42:16 +0000] "GET /keycloak/realms/ssd/.well-known/openid-configuration HTTP/1.1" 200 6318 "-" "Java/17-ea" "-"
172.19.0.1 - - [09/Feb/2024:17:44:31 +0000] "GET /spring/ChargingStation/Welcome HTTP/1.1" 200 2185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:31 +0000] "GET /script.js HTTP/1.1" 404 555 "https://localhost:8443/spring/ChargingStation/Welcome" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:31 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "https://localhost:8443/spring/ChargingStation/Welcome" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:41 +0000] "GET /ChargingStation/Welcome/Logged HTTP/1.1" 404 555 "https://localhost:8443/spring/ChargingStation/Welcome" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:47 +0000] "GET /spring/ChargingStation/Welcome HTTP/1.1" 200 2185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:47 +0000] "GET /script.js HTTP/1.1" 404 555 "https://localhost:8443/spring/ChargingStation/Welcome" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:49 +0000] "GET /ChargingStation/Welcome/Logged HTTP/1.1" 404 555 "https://localhost:8443/spring/ChargingStation/Welcome" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:51 +0000] "GET /spring/ChargingStation/Welcome HTTP/1.1" 200 2185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:17:44:51 +0000] "GET /script.js HTTP/1.1" 404 555 "https://localhost:8443/spring/ChargingStation/Welcome" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Feb/2024:18:29:26 +0000] "GET /keycloak/realms/ssd/.well-known/openid-configuration HTTP/1.1" 502 497 "-" "Java/17-ea" "-"
